Title,Organization,Skills,Ratings,Review counts,Level,Pro,Dure,Combined_Text
IBM Applied AI,IBM,"[' Machine Learning', ' Deep Learning', ' Machine Learning Algorithms', ' Artificial Neural Networks', ' Python Programming', ' Cloud Computing', ' Computer Vision', ' Human Learning', ' IBM Cloud', ' Applied Machine Learning', ' Algorithms', ' Cloud API', ' Machine Learning Software', ' Natural Language Processing', ' Human Computer Interaction', ' Computer Programming', ' Cloud Applications', ' Computer Programming Tools', ' Application Development', ' Visualization (Computer Graphics)', ' Data Analysis', ' Critical Thinking', ' Cloud-Based Integration', ' Software As A Service', ' Data Science']",4.6,47000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"IBM Applied AI  Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Applied Machine Learning, Algorithms, Cloud API, Machine Learning Software, Natural Language Processing, Human Computer Interaction, Computer Programming, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, Critical Thinking, Cloud-Based Integration, Software As A Service, Data Science IBM"
IBM Full Stack Software Developer,IBM,"[' Cloud Computing', ' Python Programming', ' Cloud Applications', ' Computer Programming', ' IBM Cloud', ' Application Development', ' Cloud Infrastructure', ' DevOps', ' Web Development', ' Cloud Management', ' Cloud Platforms', ' Javascript', ' Software Architecture', ' Cloud API', ' Cloud Storage', ' Cloud-Based Integration', ' Full-Stack Web Development', ' Software Engineering', ' Continuous Delivery', ' Continuous Integration', ' Docker (Software)', ' Software As A Service', ' Microarchitecture', ' Django (Web Framework)', ' Database Application', ' Databases', ' Kubernetes', ' SQL', ' Software Engineering Tools', ' Data Management', ' NoSQL', ' Collaboration', ' Computer Science', ' Data Analysis', ' Front-End Web Development', ' Leadership and Management', ' Mergers & Acquisitions', ' React (web framework)']",4.6,42000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"IBM Full Stack Software Developer  Cloud Computing, Python Programming, Cloud Applications, Computer Programming, IBM Cloud, Application Development, Cloud Infrastructure, DevOps, Web Development, Cloud Management, Cloud Platforms, Javascript, Software Architecture, Cloud API, Cloud Storage, Cloud-Based Integration, Full-Stack Web Development, Software Engineering, Continuous Delivery, Continuous Integration, Docker (Software), Software As A Service, Microarchitecture, Django (Web Framework), Database Application, Databases, Kubernetes, SQL, Software Engineering Tools, Data Management, NoSQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework) IBM"
Introduction to Data Science,IBM,"[' Data Science', ' Python Programming', ' Data Analysis', ' Data Management', ' R Programming', ' Computer Programming', ' Data Mining', ' Data Structures', ' Database Administration', ' Database Application', ' Database Theory', ' Databases', ' SQL', ' Data Model', ' Machine Learning', ' Statistical Machine Learning', ' Big Data', ' Cloud Computing', ' Deep Learning', ' IBM Cloud', ' Regression', ' Writing']",4.6,86000,Beginner ,· Specialization ,· 3 - 6 Months,"Introduction to Data Science  Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Deep Learning, IBM Cloud, Regression, Writing IBM"
Data Science Fundamentals with Python and SQL,IBM,"[' Python Programming', ' Data Analysis', ' General Statistics', ' Probability & Statistics', ' Basic Descriptive Statistics', ' Statistical Analysis', ' Statistical Tests', ' Mathematical Theory & Analysis', ' Statistical Programming', ' Computer Programming', ' Data Visualization', ' Data Science', ' Plot (Graphics)', ' R Programming', ' Data Management', ' Data Structures', ' Database Administration', ' Database Application', ' Database Theory', ' Databases', ' SQL', ' Cloud Computing', ' IBM Cloud']",4.6,60000,Beginner ,· Specialization ,· 3 - 6 Months,"Data Science Fundamentals with Python and SQL  Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Plot (Graphics), R Programming, Data Management, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud IBM"
IBM Data Engineering,IBM,"[' Data Management', ' Databases', ' Database Administration', ' Extract', ' Transform', ' Load', ' Python Programming', ' Big Data', ' SQL', ' Apache', ' Database Design', ' Distributed Computing Architecture', ' Data Architecture', ' Database Application', ' NoSQL', ' Data Structures', ' Data Model', ' Data Warehousing', ' Cloud Computing', ' Database Theory', ' Data Engineering', ' Data Visualization', ' Computer Programming', ' IBM Cloud', ' Data Mining', ' Machine Learning', ' Cloud Applications', ' Data Analysis', ' Leadership and Management', ' Kubernetes', ' PostgreSQL', ' Devops Tools', ' Business Intelligence', ' Data Visualization Software', ' Linux', ' Network Security', ' Statistical Programming', ' Data Science']",4.6,47000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"IBM Data Engineering  Data Management, Databases, Database Administration, Extract, Transform, Load, Python Programming, Big Data, SQL, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Leadership and Management, Kubernetes, PostgreSQL, Devops Tools, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science IBM"
Key Technologies for Business,IBM,"[' Algorithms', ' Applied Machine Learning', ' Artificial Neural Networks', ' Computer Vision', ' Deep Learning', ' Human Learning', ' Machine Learning', ' Machine Learning Algorithms', ' Machine Learning Software', ' Cloud Computing', ' Data Science', ' Critical Thinking', ' Big Data', ' Data Analysis', ' Data Mining', ' Cloud Applications', ' Cloud Infrastructure', ' Cloud Platforms', ' Cloud Storage', ' DevOps', ' IBM Cloud', ' Regression', ' Writing']",4.7,83000,Beginner ,· Specialization ,· 1 - 3 Months,"Key Technologies for Business  Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Data Science, Critical Thinking, Big Data, Data Analysis, Data Mining, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Regression, Writing IBM"
IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,"[' Business Analysis', ' Business Transformation', ' Strategy', ' Cloud Computing', ' Data Analysis', ' Strategy and Operations', ' Applied Machine Learning', ' Entrepreneurship', ' Leadership and Management', ' Algorithms', ' Artificial Neural Networks', ' Computer Vision', ' Deep Learning', ' Human Learning', ' Innovation', ' Machine Learning', ' Machine Learning Algorithms', ' Machine Learning Software', ' Marketing', ' Sales', ' Data Visualization', ' Research and Design', ' Critical Thinking', ' Business Design', ' Business Development', ' Customer Analysis', ' Product Strategy', ' Market Analysis', ' Data Management', ' Data Mining', ' Databases', ' Python Programming', ' SQL', ' Cloud Applications', ' Cloud Infrastructure', ' Cloud Platforms', ' Cloud Storage', ' Data Science', ' DevOps', ' IBM Cloud', ' NoSQL', ' R Programming', ' Microsoft Excel']",4.7,30000,Beginner ,· Specialization ,· 3 - 6 Months,"IBM & Darden Digital Strategy  Business Analysis, Business Transformation, Strategy, Cloud Computing, Data Analysis, Strategy and Operations, Applied Machine Learning, Entrepreneurship, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Visualization, Research and Design, Critical Thinking, Business Design, Business Development, Customer Analysis, Product Strategy, Market Analysis, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel University of Virginia Darden School Foundation"
Deep Learning,DeepLearning.AI,"[' Machine Learning', ' Deep Learning', ' Artificial Neural Networks', ' Machine Learning Algorithms', ' Applied Machine Learning', ' Python Programming', ' Machine Learning Software', ' Network Model', ' Algorithms', ' Computer Programming', ' Computer Vision', ' Network Architecture', ' Natural Language Processing', ' Tensorflow', ' Human Learning', ' Data Analysis', ' Data Model', ' Exploratory Data Analysis', ' Organizational Development', ' Process Analysis', ' Strategy', ' Computational Logic', ' Mathematics', ' Mathematical Theory & Analysis', ' Linear Algebra', ' Regression', ' Calculus']",4.8,142000,Intermediate ,· Specialization ,· 3 - 6 Months,"Deep Learning  Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus DeepLearning.AI"
Data Engineering Foundations,IBM,"[' Data Management', ' Python Programming', ' Data Structures', ' Databases', ' Data Engineering', ' Database Application', ' SQL', ' Database Administration', ' Database Design', ' Extract', ' Transform', ' Load', ' Computer Programming', ' Data Architecture', ' Database Theory', ' Data Mining', ' Data Model', ' Data Analysis', ' Leadership and Management', ' Data Warehousing', ' PostgreSQL', ' Big Data', ' IBM Cloud', ' Network Security', ' NoSQL', ' Cloud Computing', ' Data Science']",4.6,46000,Beginner ,· Specialization ,· 3 - 6 Months,"Data Engineering Foundations  Data Management, Python Programming, Data Structures, Databases, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science IBM"
Applied Data Science,IBM,"[' Python Programming', ' Data Analysis', ' Machine Learning', ' Algorithms', ' Computer Programming', ' Data Science', ' Data Visualization', ' Exploratory Data Analysis', ' General Statistics', ' Machine Learning Algorithms', ' Plot (Graphics)', ' Probability & Statistics', ' Regression', ' Statistical Programming']",4.6,49000,Beginner ,· Specialization ,· 3 - 6 Months,"Applied Data Science  Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming IBM"
IBM Back-End Development,IBM,"[' Application Development', ' Software Engineering', ' Python Programming', ' Computer Programming', ' Software Architecture', ' DevOps', ' Software Engineering Tools', ' Cloud Applications', ' Cloud Computing', ' Security Engineering', ' Programming Principles', ' Web Development', ' Cloud Infrastructure', ' Cloud-Based Integration', ' Microarchitecture', ' Agile Software Development', ' Communication', ' IBM Cloud', ' Kubernetes', ' Software Security', ' Data Management', ' Database Application', ' Databases', ' Docker (Software)', ' Linux', ' SQL', ' Software-Defined Networking', ' Technical Product Management', ' Collaboration', ' Django (Web Framework)', ' Leadership and Management', ' Data Analysis', ' Mergers & Acquisitions']",4.6,37000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"IBM Back-End Development  Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Cloud Computing, Security Engineering, Programming Principles, Web Development, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Data Management, Database Application, Databases, Docker (Software), Linux, SQL, Software-Defined Networking, Technical Product Management, Collaboration, Django (Web Framework), Leadership and Management, Data Analysis, Mergers & Acquisitions IBM"
IBM AI Foundations for Business,IBM,"[' Machine Learning', ' Data Analysis', ' Applied Machine Learning', ' Data Management', ' Leadership and Management', ' Machine Learning Algorithms', ' Algorithms', ' Artificial Neural Networks', ' Business Process Management', ' Computer Vision', ' Data Architecture', ' Deep Learning', ' Human Learning', ' Machine Learning Software', ' Data Science', ' Strategy and Operations', ' Critical Thinking', ' Business Analysis', ' Business Transformation', ' Strategy', ' Big Data', ' Data Mining', ' Innovation', ' Regression', ' Writing']",4.7,78000,Beginner ,· Specialization ,· 1 - 3 Months,"IBM AI Foundations for Business  Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Business Process Management, Computer Vision, Data Architecture, Deep Learning, Human Learning, Machine Learning Software, Data Science, Strategy and Operations, Critical Thinking, Business Analysis, Business Transformation, Strategy, Big Data, Data Mining, Innovation, Regression, Writing IBM"
IBM Data Analytics with Excel and R,IBM,"[' Data Analysis', ' R Programming', ' Computer Programming', ' Data Visualization', ' Data Management', ' Statistical Programming', ' Databases', ' Plot (Graphics)', ' Exploratory Data Analysis', ' Statistical Visualization', ' Data Analysis Software', ' Data Structures', ' Statistical Analysis', ' Microsoft Excel', ' SQL', ' Basic Descriptive Statistics', ' General Statistics', ' Interactive Data Visualization', ' Database Application', ' Extract', ' Transform', ' Load', ' Spreadsheet Software', ' Visualization (Computer Graphics)', ' Programming Principles', ' Regression', ' Database Administration', ' Database Design', ' Database Theory', ' Computer Programming Tools', ' Data Mining', ' Data Visualization Software', ' Statistical Machine Learning', ' Visual Design', ' Probability & Statistics', ' System Programming', ' Business Analysis', ' Python Programming', ' Data Science', ' NoSQL']",4.7,20000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"IBM Data Analytics with Excel and R  Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Data Analysis Software, Data Structures, Statistical Analysis, Microsoft Excel, SQL, Basic Descriptive Statistics, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Spreadsheet Software, Visualization (Computer Graphics), Programming Principles, Regression, Database Administration, Database Design, Database Theory, Computer Programming Tools, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Probability & Statistics, System Programming, Business Analysis, Python Programming, Data Science, NoSQL IBM"
Data Analysis and Visualization Foundations,IBM,"[' Microsoft Excel', ' Data Visualization', ' Spreadsheet Software', ' Data Analysis', ' Plot (Graphics)', ' Databases', ' Python Programming', ' SQL', ' Statistical Visualization', ' Business Analysis', ' Data Management', ' Data Mining', ' Data Science', ' Interactive Data Visualization', ' NoSQL', ' R Programming', ' Data Visualization Software']",4.7,20000,Beginner ,· Specialization ,· 3 - 6 Months,"Data Analysis and Visualization Foundations  Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Databases, Python Programming, SQL, Statistical Visualization, Business Analysis, Data Management, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software IBM"
Applied Software Engineering Fundamentals,IBM,"[' Python Programming', ' Computer Programming', ' Software Engineering', ' Application Development', ' Programming Principles', ' Software Architecture', ' Software Engineering Tools', ' Agile Software Development', ' Communication', ' Software-Defined Networking', ' Technical Product Management', ' Collaboration', ' Leadership and Management', ' Linux', ' Data Analysis', ' Mergers & Acquisitions']",4.6,37000,Beginner ,· Specialization ,· 3 - 6 Months,"Applied Software Engineering Fundamentals  Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions IBM"
Prompt Engineering,Vanderbilt University,"[' Creativity', ' Data Analysis', ' Problem Solving', ' Writing']",4.8,2100,Beginner ,· Specialization ,· 1 - 3 Months,"Prompt Engineering  Creativity, Data Analysis, Problem Solving, Writing Vanderbilt University"
AI Foundations for Everyone,IBM,"[' Human Learning', ' Machine Learning', ' Artificial Neural Networks', ' Deep Learning', ' Machine Learning Algorithms', ' Human Computer Interaction', ' Natural Language Processing', ' Algorithms', ' Applied Machine Learning', ' Cloud Computing', ' Computer Vision', ' IBM Cloud', ' Machine Learning Software', ' Critical Thinking', ' Cloud API', ' Computer Programming', ' Data Science']",4.7,13000,Beginner ,· Specialization ,· 3 - 6 Months,"AI Foundations for Everyone  Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Critical Thinking, Cloud API, Computer Programming, Data Science IBM"
Generative AI with Large Language Models,DeepLearning.AI,"[' Machine Learning', ' Natural Language Processing', ' Python Programming']",4.8,1600,Intermediate ,· Course ,· 1 - 4 Weeks,"Generative AI with Large Language Models  Machine Learning, Natural Language Processing, Python Programming DeepLearning.AI"
Cloud Application Development Foundations,IBM,"[' Cloud Computing', ' Cloud Applications', ' IBM Cloud', ' Javascript', ' Cloud Infrastructure', ' Cloud Platforms', ' DevOps', ' Cloud Management', ' Computer Programming', ' Web Development', ' Cloud API', ' Cloud Storage', ' Continuous Integration', ' Software As A Service', ' Continuous Delivery', ' NoSQL', ' Computer Science', ' Front-End Web Development', ' React (web framework)']",4.6,6600,Beginner ,· Specialization ,· 3 - 6 Months,"Cloud Application Development Foundations  Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Cloud Storage, Continuous Integration, Software As A Service, Continuous Delivery, NoSQL, Computer Science, Front-End Web Development, React (web framework) IBM"
"DevOps, Cloud, and Agile Foundations",IBM,"[' DevOps', ' Cloud Computing', ' Software Engineering', ' Agile Software Development', ' Continuous Delivery', ' Continuous Integration', ' Scrum (Software Development)', ' Cloud Applications', ' Cloud Infrastructure', ' Cloud Platforms', ' Cloud Storage', ' IBM Cloud', ' Leadership and Management']",4.7,8000,Beginner ,· Specialization ,· 3 - 6 Months,"DevOps, Cloud, and Agile Foundations  DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management IBM"
Google Advanced Data Analytics,Google,"[' Communication', ' Computer Programming', ' Data Analysis', ' Data Visualization', ' Exploratory Data Analysis', ' General Statistics', ' Machine Learning', ' Planning', ' Probability Distribution', ' Project Management', ' Python Programming', ' Regression', ' Statistical Analysis', ' Tableau Software']",4.7,2500,Advanced ,· Professional Certificate ,· 3 - 6 Months,"Google Advanced Data Analytics  Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software Google"
IBM and ISC2 Cybersecurity Specialist,Multiple educators,"[' Computer Security Incident Management', ' Leadership and Management', ' Cloud Computing', ' System Security', ' Computer Networking', ' Risk Management', ' Cloud Storage', ' Operating Systems', ' Network Security', ' Cloud Platforms', ' Network Architecture', ' Networking Hardware', ' Cloud Applications', ' Cloud Infrastructure', ' Computer Programming', ' Cyberattacks', ' Databases', ' DevOps', ' Security Engineering', ' Cryptography', ' IBM Cloud', ' Operations Management', ' Software Engineering']",4.7,8100,Beginner ,· Professional Certificate ,· 3 - 6 Months,"IBM and ISC2 Cybersecurity Specialist  Computer Security Incident Management, Leadership and Management, Cloud Computing, System Security, Computer Networking, Risk Management, Cloud Storage, Operating Systems, Network Security, Cloud Platforms, Network Architecture, Networking Hardware, Cloud Applications, Cloud Infrastructure, Computer Programming, Cyberattacks, Databases, DevOps, Security Engineering, Cryptography, IBM Cloud, Operations Management, Software Engineering Multiple educators"
